N,D,jitter_std,rep,vpp_clean_uV,vpp_noisy_uV,snr,peak_neg_uV,crossings,detected
1,100,20,1,1.8845923251661945,32.45046604197228,0.18845923251661945,-1.1577623554215195,0,False
1,100,20,2,4.213007126674403,32.54506571268189,0.4213007126674403,-2.5975270374579082,0,False
1,100,30,0,2.3305445667219686,40.09497080186595,0.23305445667219687,-1.4183205533657166,0,False
1,100,30,1,0.6648571740627178,34.875121986444825,0.06648571740627178,-0.4002976652784227,0,False
1,100,30,2,1.390905484839438,32.57910105308788,0.1390905484839438,-0.8505209967174105,0,False
1,100,50,0,3.4556650838263154,34.90295700198202,0.34556650838263153,-2.1651455977451683,0,False
1,100,50,1,1.571786549184532,33.645076784555485,0.1571786549184532,-0.9608504884617218,0,False
1,100,50,2,0.0001424715774351307,33.24905986704684,1.4247157743513068e-05,-0.00011069464119581717,0,False
1,150,0,0,2.260508083858192,33.90961143964416,0.2260508083858192,-1.1183789582510004,0,False
1,150,0,1,0.5687369748638565,31.368450270624706,0.056873697486385655,-0.34536586548043746,0,False
1,150,0,2,1.0654245790766268,35.04681789323107,0.10654245790766267,-0.655248452542339,0,False
1,150,3,0,1.3004664170547207,31.689059920285356,0.13004664170547206,-0.762988646417053,0,False
1,150,3,1,0.9596272116294718,33.23143644943493,0.09596272116294718,-0.586879310649235,0,False
1,150,3,2,1.0472492170788432,32.78001915815067,0.10472492170788432,-0.6427966113058704,0,False
1,150,5,0,1.0570426862056768,33.02181593668862,0.10570426862056767,-0.5288905623263888,0,False
1,150,5,1,0.08611111626605442,35.84860517682225,0.008611111626605442,-0.04662689106627413,0,False
1,150,5,2,0.8643375436501097,33.027647384646265,0.08643375436501097,-0.5298107586726702,0,False
1,150,10,0,0.4733420000650967,29.72233221643013,0.04733420000650967,-0.28684718705408924,0,False
1,150,10,1,0.8760931962108995,32.50727752572957,0.08760931962108995,-0.5330242754795312,0,False
1,150,10,2,1.253489474637201,34.89118642300072,0.1253489474637201,-0.7745820406581556,0,False
1,150,20,0,0.8022001863880404,31.485973805959794,0.08022001863880404,-0.44927869407269294,0,False
1,150,20,1,0.888493121789437,33.67201648123067,0.08884931217894369,-0.5417112935850847,0,False
1,150,20,2,1.5068793026296763,33.94088375206099,0.15068793026296762,-0.9264958892535742,0,False
1,150,30,0,0.9162794783474523,35.81328748494266,0.09162794783474523,-0.5118130290723528,0,False
1,150,30,1,0.8359678590325952,33.69418102249148,0.08359678590325952,-0.5081814065927911,0,False
1,150,30,2,0.48918443417401697,37.19189479120887,0.048918443417401695,-0.29660754559766855,0,False
1,150,50,0,1.3782470038880996,31.599415859169838,0.13782470038880995,-0.7958994578215796,0,False
1,150,50,1,0.9522991570022097,31.65452998482781,0.09522991570022096,-0.5821603050730626,0,False
1,150,50,2,1.4369069498817173,32.76149529852156,0.14369069498817172,-0.8878279349169191,0,False
1,200,0,0,1.000795805344965,33.96972953104235,0.1000795805344965,-0.49465746956312506,0,False
1,200,0,1,0.27856820138142246,36.69947959712805,0.027856820138142245,-0.16171215115092902,0,False
1,200,0,2,0.6702826146189328,31.07729844748613,0.06702826146189328,-0.28469318283698514,0,False
1,200,3,0,0.2074238301279428,35.49752154226675,0.02074238301279428,-0.11906695095881378,0,False
1,200,3,1,0.10801129613112345,32.86491786404642,0.010801129613112345,-0.06221120892906704,0,False
1,200,3,2,0.3759211689649613,28.73458526962035,0.03759211689649613,-0.16558605795415987,0,False
1,200,5,0,0.14528157046465096,33.63869650491555,0.014528157046465096,-0.08665567930486356,0,False
1,200,5,1,0.42556008175613363,35.13796465052022,0.04255600817561336,-0.24592884065753048,0,False
1,200,5,2,0.5816735549372882,32.98661781652527,0.058167355493728826,-0.24359518405552472,0,False
1,200,10,0,0.8206771418539415,35.853737790783235,0.08206771418539414,-0.3820117734536351,0,False
1,200,10,1,0.45764013673524645,32.94220547054434,0.045764013673524645,-0.25854422779658104,0,False
1,200,10,2,0.5499183234910255,32.59031074294902,0.05499183234910256,-0.23346802202584147,0,False
1,200,20,0,0.14523953858630786,31.43109364487664,0.014523953858630787,-0.08657389081197744,0,False
1,200,20,1,0.426380584056859,36.06103488309823,0.0426380584056859,-0.24733715712921645,0,False
1,200,20,2,0.33124704561646096,32.22024774358954,0.033124704561646096,-0.14762661588453876,0,False
1,200,30,0,0.38953025465369306,30.363942610380967,0.03895302546536931,-0.2360853533424365,0,False
1,200,30,1,0.5218926329900899,32.359533179817234,0.05218926329900899,-0.29466421948879934,0,False
1,200,30,2,0.5972868491240484,33.508501548677756,0.059728684912404836,-0.25340388555337257,0,False
1,200,50,0,0.3463225150984245,31.746942371323787,0.03463225150984245,-0.21015351447986408,0,False
1,200,50,1,0.21368295743361326,30.742649387935824,0.021368295743361326,-0.12466266690566272,0,False
1,200,50,2,0.813595036833977,34.45677424043754,0.0813595036833977,-0.33420818211991266,0,False
5,25,0,0,92.08381443944279,106.41136824859024,9.20838144394428,-44.58042675062926,5,True
5,25,0,1,51.86234171233459,61.04271073692033,5.186234171233459,-27.47515480933265,9,True
5,25,0,2,80.05248276278803,94.01562210074562,8.005248276278802,-42.88705038972238,3,True
5,25,3,0,78.72326357514567,86.66373526143147,7.8723263575145666,-40.1525161862018,4,True
5,25,3,1,54.282863613958924,68.0599879526284,5.428286361395893,-29.09819539495532,6,True
5,25,3,2,106.70556592751335,119.51565289459637,10.670556592751336,-57.74096399577229,3,True
5,25,5,0,95.78514330247461,110.64212087247253,9.578514330247462,-58.77145815415124,4,True
5,25,5,1,78.70642734466504,87.64899688371179,7.870642734466505,-44.04257971293774,9,True
5,25,5,2,55.17415758183924,67.47161694625626,5.517415758183924,-33.11350305774783,5,True
5,25,10,0,72.8138990427457,89.32236573650451,7.281389904274571,-44.34588806217081,10,True
5,25,10,1,35.094858763982,46.747184017488806,3.5094858763982004,-16.013616936735943,1,True
5,25,10,2,58.15441328093304,76.06002558882172,5.815441328093304,-37.88687751858339,6,True
5,25,20,0,75.96068563687282,99.04381723059231,7.5960685636872824,-40.81893927580245,6,True
5,25,20,1,46.11681968411542,57.628847370036034,4.611681968411542,-28.488979951778056,7,True
5,25,20,2,75.13498933876008,88.06023607699044,7.513498933876008,-47.256598142230715,8,True
5,25,30,0,51.5356656017425,69.24632120470413,5.15356656017425,-33.501096606513514,7,True
5,25,30,1,63.78247412211496,78.74187156163839,6.378247412211496,-33.323515201939976,7,True
5,25,30,2,56.35293223237433,72.6871500355071,5.635293223237433,-36.730280950343285,8,True
5,25,50,0,53.51950165331904,64.83959891508923,5.351950165331904,-33.98563406156787,5,True
5,25,50,1,49.67048108733756,68.19615888359561,4.967048108733756,-32.01743001858894,6,True
5,25,50,2,60.9666225997876,77.5834260198735,6.09666225997876,-34.76724703004738,9,True
5,50,0,0,18.829780939339184,34.81370916102209,1.8829780939339185,-11.375420974138791,0,False
5,50,0,1,27.278245205048254,38.50823181172228,2.7278245205048255,-15.493323802812812,1,True
5,50,0,2,20.704964599757044,34.75308847130971,2.0704964599757045,-10.930397050837245,0,False
5,50,3,0,17.49177452835089,36.72640593399031,1.7491774528350892,-10.912843511282711,0,False
5,50,3,1,17.278532823252384,29.15202495121811,1.7278532823252384,-9.178854713152033,0,False
5,50,3,2,34.79841468884936,44.69504301694254,3.479841468884936,-19.289765137624414,2,True
5,50,5,0,35.298719212895705,56.121235643757075,3.5298719212895704,-22.04105858767709,3,True
5,50,5,1,18.006975445889864,35.67488124851065,1.8006975445889863,-10.629089855485397,0,False
5,50,5,2,21.30590136822346,40.32184437221329,2.130590136822346,-12.285739468328464,2,True
5,50,10,0,19.135018465266896,36.33723400249653,1.9135018465266895,-11.848166996980304,0,False
5,50,10,1,27.399079937605865,41.55317864028588,2.7399079937605864,-17.504678518221098,1,True
5,50,10,2,24.79294532033235,46.73332397560923,2.479294532033235,-15.365207774612383,1,True
5,50,20,0,20.93054695401489,38.48595345202441,2.093054695401489,-13.437705175898499,1,True
5,50,20,1,20.483775770094248,40.814311897291674,2.0483775770094246,-13.30544837142073,1,True
5,50,20,2,36.51392425654548,53.62904461813905,3.651392425654548,-22.816553179698232,4,True
5,50,30,0,19.480628160043775,46.67411553198502,1.9480628160043776,-12.47791367991366,1,True
5,50,30,1,18.475675853057698,41.10436204374843,1.8475675853057698,-11.976098230559307,1,True
5,50,30,2,24.4318030437474,42.57408057384841,2.44318030437474,-12.853176299004751,1,True
5,50,50,0,18.43342313576605,36.902260298461044,1.843342313576605,-11.92582592356326,0,False
5,50,50,1,21.083844570109033,39.61959379189575,2.1083844570109034,-12.396904063482605,0,False
5,50,50,2,22.7366527211406,44.22519679410182,2.27366527211406,-12.02364994403643,2,True
5,75,0,0,20.26473816035622,36.18158296568643,2.026473816035622,-12.492756999004701,0,False
5,75,0,1,7.366528406567643,39.43240247403724,0.7366528406567643,-3.641374220929161,0,False
5,75,0,2,7.685899388782092,35.33075682602515,0.7685899388782091,-4.487842483834329,0,False
5,75,3,0,16.924956550122857,35.70603058569415,1.6924956550122858,-9.658018351847922,0,False
5,75,3,1,8.392371290793234,33.88096465622585,0.8392371290793234,-4.765391478500839,0,False
5,75,3,2,11.98954520280704,32.4665247014591,1.198954520280704,-7.231648006693757,0,False
5,75,5,0,10.598476768619143,36.10484804873391,1.0598476768619143,-6.725737993272735,0,False
5,75,5,1,8.676781685600288,35.30895660598112,0.8676781685600288,-5.480304548113903,0,False
5,75,5,2,15.935058441146511,37.25213739398559,1.593505844114651,-9.988703467163111,0,False
5,75,10,0,7.026053586267278,32.39175240707008,0.7026053586267278,-4.031703070562347,0,False
5,75,10,1,7.310732886799767,31.086998592999272,0.7310732886799767,-4.488035069935547,0,False
5,75,10,2,9.560966150516368,31.422736466440114,0.9560966150516368,-5.955700181862557,0,False
5,75,20,0,10.835936899587875,30.693103558586856,1.0835936899587875,-5.79158149545864,0,False
5,75,20,1,11.63158622490521,32.96695260178858,1.163158622490521,-7.3433821643441055,0,False
5,75,20,2,7.152523237627934,30.963788965010004,0.7152523237627934,-4.567594389702592,0,False
5,75,30,0,9.046149237425903,32.12057200835419,0.9046149237425902,-5.7772784458880535,0,False
5,75,30,1,4.492779593205775,31.52553284096134,0.44927795932057746,-2.5564018250918834,0,False
5,75,30,2,6.121030362069758,32.19710861718082,0.6121030362069758,-3.8288433889959808,0,False
5,75,50,0,5.489575984848184,31.0781220140054,0.5489575984848184,-3.384169685130931,0,False
5,75,50,1,7.830487431316784,31.18284955814461,0.7830487431316784,-4.759365303478484,0,False
5,75,50,2,10.949984302900841,39.5445877741312,1.0949984302900841,-5.749846606753778,0,False
5,100,0,0,11.925838498754878,31.944886473086406,1.1925838498754877,-6.787857164645553,0,False
